Datum;Aanhef;Voornaam;Achternaam;Leeftijd;E-mailadres;Facebook;Google;Zorgkaart;Independer;"Vergelijk Mondzorg";"Aangepaste doorverwijzing";Kliniekoverzicht;Telefoonboek;"Uitgenodigd op";"Beoordeeld op"
04-10-2016;Mr.;George;Dent;21;George_Dent@gmail.com;1;0;1;0;0;0;1;0;"27-09-2016 02:32";"27-09-2016 02:32"
04-10-2016;;William;Peterson;87;William_Peterson@gmail.com;1;0;0;1;0;0;1;0;"27-09-2016 00:32";"27-09-2016 00:32"
04-10-2016;Dr.;William;Eastwood;18;William_Eastwood@gmail.com;1;0;0;0;0;0;0;0;"26-09-2016 22:15";"26-09-2016 22:15"
04-10-2016;Mr.;Sam;Dent;18;Sam_Dent@gmail.com;0;0;0;0;1;0;0;0;"26-09-2016 22:05";"26-09-2016 22:05"
04-10-2016;Mr.;John;Peterson;25;John_Peterson@gmail.com;0;0;0;1;1;1;1;0;"26-09-2016 21:32";"26-09-2016 21:32"
04-10-2016;;Andrew;Jackson;0;Andrew_Jackson@gmail.com;1;0;0;0;1;0;0;1;"26-09-2016 21:32";"26-09-2016 21:32"
04-10-2016;Mr.;Bill;Smith;18;Bill_Smith@gmail.com;0;1;0;0;0;0;0;0;"26-09-2016 20:15";"26-09-2016 20:15"
04-10-2016;Dr.;Tom;Doe;18;Tom_Doe@gmail.com;0;0;0;0;1;0;0;0;"26-09-2016 19:32";"26-09-2016 19:32"
04-10-2016;;Sam;Peterson;25;Sam_Peterson@gmail.com;1;0;1;0;0;0;0;1;"26-09-2016 18:05";"26-09-2016 18:05"
04-10-2016;Mr.;Bill;Eastwood;16;Bill_Eastwood@gmail.com;1;0;0;0;0;0;0;1;"26-09-2016 14:15";"26-09-2016 14:15"
04-10-2016;Mr.;Jack;Gordon;0;Jack_Gordon@gmail.com;1;1;1;1;1;1;0;0;"26-09-2016 12:37";"26-09-2016 12:37"
04-10-2016;;Bill;Dent;21;Bill_Dent@gmail.com;0;1;1;0;0;0;0;0;"26-09-2016 11:40";"26-09-2016 11:40"
04-10-2016;Mr.;Bill;Eastwood;60;Bill_Eastwood@gmail.com;0;1;0;0;0;1;0;1;"26-09-2016 10:07";"26-09-2016 10:07"
04-10-2016;;Roger;Smith;25;Roger_Smith@gmail.com;0;1;0;1;1;1;1;1;"26-09-2016 09:40";"26-09-2016 09:40"
04-10-2016;Dr.;George;Eastwood;60;George_Eastwood@gmail.com;1;0;0;0;0;0;1;1;"26-09-2016 09:40";"26-09-2016 09:40"
04-10-2016;;George;Peterson;21;George_Peterson@gmail.com;0;1;0;0;0;0;0;0;"26-09-2016 09:37";"26-09-2016 09:37"
04-10-2016;;Roger;Smith;18;Roger_Smith@gmail.com;0;0;1;0;1;0;0;0;"26-09-2016 08:37";"26-09-2016 08:37"
04-10-2016;;Jim;Gordon;54;Jim_Gordon@gmail.com;0;0;0;0;0;0;0;0;"26-09-2016 08:37";"26-09-2016 08:37"
04-10-2016;Mr.;Jack;Walker;16;Jack_Walker@gmail.com;0;1;0;0;0;1;0;0;"26-09-2016 07:07";"26-09-2016 07:07"
04-10-2016;Dr.;Jim;Peterson;0;Jim_Peterson@gmail.com;0;0;0;0;0;0;0;0;"26-09-2016 06:40";"26-09-2016 06:40"
04-10-2016;Mr.;George;Clinton;35;George_Clinton@gmail.com;0;1;1;0;0;0;0;1;"26-09-2016 05:07";"26-09-2016 05:07"
04-10-2016;Dr.;Jack;Peterson;0;Jack_Peterson@gmail.com;1;1;1;0;0;0;1;1;"26-09-2016 04:07";"26-09-2016 04:07"
04-10-2016;;Andrew;Gordon;16;Andrew_Gordon@gmail.com;1;0;1;1;1;0;1;1;"26-09-2016 03:40";"26-09-2016 03:40"
04-10-2016;Mr.;Bill;Peterson;21;Bill_Peterson@gmail.com;0;0;1;0;0;0;0;1;"26-09-2016 03:40";"26-09-2016 03:40"
04-10-2016;Dr.;Roger;Burns;0;Roger_Burns@gmail.com;0;0;1;0;1;1;1;1;"26-09-2016 03:40";"26-09-2016 03:40"
04-10-2016;;Andrew;Jackson;60;Andrew_Jackson@gmail.com;0;0;1;0;1;0;0;0;"26-09-2016 02:31";"26-09-2016 02:31"
04-10-2016;Dr.;Andrew;Walker;16;Andrew_Walker@gmail.com;0;1;1;1;1;0;1;1;"26-09-2016 00:31";"26-09-2016 00:31"
04-10-2016;Dr.;John;Doe;25;John_Doe@gmail.com;1;0;0;1;1;0;1;1;"26-09-2016 00:07";"26-09-2016 00:07"
04-10-2016;Mr.;William;Burns;0;William_Burns@gmail.com;0;1;0;1;0;1;0;0;"26-09-2016 00:07";"26-09-2016 00:07"
04-10-2016;;John;Eastwood;54;John_Eastwood@gmail.com;1;1;0;1;0;0;0;1;"25-09-2016 22:31";"25-09-2016 22:31"
04-10-2016;Mr.;Tom;Smith;5;Tom_Smith@gmail.com;0;0;0;1;0;1;0;1;"25-09-2016 21:31";"25-09-2016 21:31"
04-10-2016;Dr.;George;Jackson;60;George_Jackson@gmail.com;0;1;1;1;0;1;1;0;"25-09-2016 21:31";"25-09-2016 21:31"
04-10-2016;Dr.;Sam;Eastwood;54;Sam_Eastwood@gmail.com;0;0;0;0;1;0;0;0;"25-09-2016 21:22";"25-09-2016 21:22"
04-10-2016;Dr.;John;Jackson;21;John_Jackson@gmail.com;1;1;1;1;0;1;0;0;"25-09-2016 20:42";"25-09-2016 20:42"
04-10-2016;Mr.;George;Gordon;5;George_Gordon@gmail.com;0;0;0;0;0;0;0;0;"25-09-2016 19:31";"25-09-2016 19:31"
04-10-2016;;Roger;Peterson;35;Roger_Peterson@gmail.com;0;0;0;0;0;0;0;1;"25-09-2016 17:31";"25-09-2016 17:31"
04-10-2016;;Roger;Gordon;54;Roger_Gordon@gmail.com;0;0;0;0;0;0;1;0;"25-09-2016 03:30";"25-09-2016 03:30"
04-10-2016;Dr.;Jack;Dent;87;Jack_Dent@gmail.com;0;0;0;1;0;0;0;0;"25-09-2016 02:41";"25-09-2016 02:41"
04-10-2016;;Tom;Clinton;25;Tom_Clinton@gmail.com;0;1;0;1;1;1;1;1;"25-09-2016 02:30";"25-09-2016 02:30"
04-10-2016;Mr.;Jim;Walker;25;Jim_Walker@gmail.com;0;1;0;0;0;0;0;1;"25-09-2016 00:30";"25-09-2016 00:30"
04-10-2016;;Tom;Doe;87;Tom_Doe@gmail.com;1;0;1;0;1;1;1;1;"24-09-2016 23:41";"24-09-2016 23:41"
04-10-2016;;Bill;Dent;16;Bill_Dent@gmail.com;0;1;1;0;0;1;0;1;"24-09-2016 22:41";"24-09-2016 22:41"
04-10-2016;Dr.;Tom;Gordon;87;Tom_Gordon@gmail.com;0;0;0;0;1;1;0;0;"24-09-2016 22:30";"24-09-2016 22:30"
04-10-2016;Dr.;George;Peterson;35;George_Peterson@gmail.com;0;1;0;1;0;0;0;1;"24-09-2016 21:41";"24-09-2016 21:41"
04-10-2016;;Sam;Doe;60;Sam_Doe@gmail.com;1;1;1;0;0;0;0;1;"24-09-2016 20:41";"24-09-2016 20:41"
04-10-2016;;John;Peterson;35;John_Peterson@gmail.com;0;0;0;0;0;0;0;0;"24-09-2016 18:41";"24-09-2016 18:41"
04-10-2016;Dr.;Sam;Jackson;21;Sam_Jackson@gmail.com;1;0;0;1;1;1;0;0;"24-09-2016 17:41";"24-09-2016 17:41"
04-10-2016;Dr.;Roger;Peterson;25;Roger_Peterson@gmail.com;0;0;0;0;1;0;0;0;"24-09-2016 17:41";"24-09-2016 17:41"
04-10-2016;Mr.;John;Smith;0;John_Smith@gmail.com;0;1;1;0;0;1;1;0;"24-09-2016 11:55";"24-09-2016 11:55"
04-10-2016;Dr.;William;Gordon;21;William_Gordon@gmail.com;0;1;1;0;1;1;0;0;"24-09-2016 10:55";"24-09-2016 10:55"
04-10-2016;;Tom;Burns;25;Tom_Burns@gmail.com;0;1;1;0;1;1;0;1;"24-09-2016 09:55";"24-09-2016 09:55"
04-10-2016;;Sam;Walker;5;Sam_Walker@gmail.com;0;0;0;0;0;0;0;0;"24-09-2016 09:55";"24-09-2016 09:55"
04-10-2016;;Andrew;Walker;21;Andrew_Walker@gmail.com;0;0;0;0;0;0;0;0;"24-09-2016 07:18";"24-09-2016 07:18"
04-10-2016;;Jack;Burns;21;Jack_Burns@gmail.com;0;1;0;1;1;1;1;1;"24-09-2016 05:55";"24-09-2016 05:55"
04-10-2016;Dr.;Bill;Walker;54;Bill_Walker@gmail.com;1;0;1;0;0;1;1;1;"24-09-2016 05:55";"24-09-2016 05:55"
04-10-2016;Mr.;Sam;Jackson;21;Sam_Jackson@gmail.com;0;1;0;1;0;1;1;1;"24-09-2016 04:55";"24-09-2016 04:55"
04-10-2016;Dr.;Sam;Eastwood;60;Sam_Eastwood@gmail.com;0;0;0;0;0;0;0;0;"24-09-2016 03:55";"24-09-2016 03:55"
04-10-2016;Mr.;John;Eastwood;87;John_Eastwood@gmail.com;0;0;0;1;0;1;1;0;"24-09-2016 02:55";"24-09-2016 02:55"
04-10-2016;Mr.;Tom;Clinton;16;Tom_Clinton@gmail.com;1;1;0;0;1;0;0;1;"24-09-2016 02:55";"24-09-2016 02:55"
04-10-2016;Mr.;John;Clinton;54;John_Clinton@gmail.com;1;1;1;1;0;1;1;0;"24-09-2016 00:34";"24-09-2016 00:34"
04-10-2016;Dr.;Jim;Gordon;21;Jim_Gordon@gmail.com;0;1;1;0;1;1;0;0;"23-09-2016 22:34";"23-09-2016 22:34"
04-10-2016;Mr.;John;Smith;60;John_Smith@gmail.com;1;0;0;1;1;0;0;1;"23-09-2016 21:34";"23-09-2016 21:34"
04-10-2016;;Bill;Burns;18;Bill_Burns@gmail.com;0;0;1;0;0;0;0;0;"23-09-2016 19:34";"23-09-2016 19:34"
04-10-2016;Dr.;Bill;Clinton;21;Bill_Clinton@gmail.com;0;0;0;0;0;0;0;0;"23-09-2016 19:04";"23-09-2016 19:04"
04-10-2016;;William;Burns;18;William_Burns@gmail.com;1;0;0;0;0;0;0;0;"23-09-2016 17:34";"23-09-2016 17:34"
04-10-2016;Dr.;Bill;Clinton;54;Bill_Clinton@gmail.com;0;0;1;0;1;1;0;1;"23-09-2016 14:07";"23-09-2016 14:07"
04-10-2016;Mr.;Andrew;Walker;5;Andrew_Walker@gmail.com;0;1;0;0;1;0;0;0;"23-09-2016 13:04";"23-09-2016 13:04"
04-10-2016;;Sam;Gordon;21;Sam_Gordon@gmail.com;1;1;0;1;1;0;1;0;"23-09-2016 11:07";"23-09-2016 11:07"
04-10-2016;;Andrew;Walker;60;Andrew_Walker@gmail.com;0;1;0;0;1;0;1;0;"23-09-2016 11:04";"23-09-2016 11:04"
04-10-2016;Mr.;Roger;Doe;60;Roger_Doe@gmail.com;0;0;0;0;0;0;0;0;"23-09-2016 10:32";"23-09-2016 10:32"
04-10-2016;Mr.;Jack;Doe;18;Jack_Doe@gmail.com;1;0;0;0;0;0;0;0;"23-09-2016 10:04";"23-09-2016 10:04"
04-10-2016;;William;Burns;54;William_Burns@gmail.com;0;0;0;0;0;1;1;0;"23-09-2016 09:04";"23-09-2016 09:04"
04-10-2016;Dr.;William;Clinton;54;William_Clinton@gmail.com;0;0;1;0;1;0;0;1;"23-09-2016 09:04";"23-09-2016 09:04"
04-10-2016;Mr.;George;Burns;18;George_Burns@gmail.com;0;0;0;0;0;0;0;0;"23-09-2016 05:23";"23-09-2016 05:23"
04-10-2016;Mr.;Bill;Walker;25;Bill_Walker@gmail.com;1;0;1;0;1;0;0;1;"23-09-2016 05:23";"23-09-2016 05:23"
04-10-2016;Dr.;Tom;Doe;21;Tom_Doe@gmail.com;1;1;1;0;1;1;0;1;"23-09-2016 04:53";"23-09-2016 04:53"
04-10-2016;;William;Dent;16;William_Dent@gmail.com;0;0;0;0;0;0;0;0;"23-09-2016 03:23";"23-09-2016 03:23"
04-10-2016;;Bill;Clinton;54;Bill_Clinton@gmail.com;1;1;0;0;0;1;0;0;"23-09-2016 02:53";"23-09-2016 02:53"
04-10-2016;Mr.;Bill;Peterson;60;Bill_Peterson@gmail.com;0;0;1;1;1;1;0;0;"23-09-2016 02:23";"23-09-2016 02:23"
04-10-2016;Mr.;William;Doe;25;William_Doe@gmail.com;0;1;0;1;0;0;0;1;"23-09-2016 00:23";"23-09-2016 00:23"
04-10-2016;Mr.;Jack;Clinton;0;Jack_Clinton@gmail.com;1;0;1;0;0;1;0;0;"22-09-2016 22:23";"22-09-2016 22:23"
04-10-2016;Mr.;Tom;Eastwood;5;Tom_Eastwood@gmail.com;0;0;0;0;0;0;0;0;"22-09-2016 21:23";"22-09-2016 21:23"
04-10-2016;;Jim;Gordon;5;Jim_Gordon@gmail.com;0;0;0;0;0;1;0;0;"22-09-2016 19:53";"22-09-2016 19:53"
04-10-2016;;Jack;Gordon;16;Jack_Gordon@gmail.com;0;0;0;0;0;0;0;0;"22-09-2016 19:53";"22-09-2016 19:53"
04-10-2016;Dr.;Roger;Clinton;60;Roger_Clinton@gmail.com;1;1;1;1;0;0;0;0;"22-09-2016 19:53";"22-09-2016 19:53"
04-10-2016;Dr.;William;Dent;35;William_Dent@gmail.com;0;0;0;0;1;1;1;0;"22-09-2016 18:23";"22-09-2016 18:23"
04-10-2016;;Roger;Smith;60;Roger_Smith@gmail.com;1;1;0;0;0;0;0;0;"22-09-2016 17:21";"22-09-2016 17:21"
04-10-2016;;Sam;Burns;60;Sam_Burns@gmail.com;0;1;1;0;0;1;0;0;"22-09-2016 17:21";"22-09-2016 17:21"
04-10-2016;;Roger;Gordon;0;Roger_Gordon@gmail.com;0;0;0;1;0;1;0;0;"22-09-2016 16:53";"22-09-2016 16:53"
04-10-2016;;Andrew;Jackson;18;Andrew_Jackson@gmail.com;1;0;0;1;1;0;0;0;"22-09-2016 15:53";"22-09-2016 15:53"
04-10-2016;;Jack;Peterson;21;Jack_Peterson@gmail.com;1;1;0;0;1;1;0;1;"22-09-2016 15:21";"22-09-2016 15:21"
04-10-2016;Dr.;Andrew;Smith;35;Andrew_Smith@gmail.com;1;1;1;1;1;0;0;1;"22-09-2016 13:53";"22-09-2016 13:53"
04-10-2016;Dr.;William;Peterson;5;William_Peterson@gmail.com;0;1;0;0;0;0;1;0;"22-09-2016 10:53";"22-09-2016 10:53"
04-10-2016;;Roger;Clinton;18;Roger_Clinton@gmail.com;0;0;0;0;0;1;0;1;"22-09-2016 10:21";"22-09-2016 10:21"
04-10-2016;Dr.;Tom;Doe;87;Tom_Doe@gmail.com;1;0;1;0;1;0;0;0;"22-09-2016 08:21";"22-09-2016 08:21"
04-10-2016;Mr.;Andrew;Dent;5;Andrew_Dent@gmail.com;1;1;0;0;0;0;0;1;"20-09-2016 22:11";"20-09-2016 22:11"
04-10-2016;Dr.;Andrew;Dent;0;Andrew_Dent@gmail.com;0;1;0;0;1;0;0;1;"20-09-2016 21:11";"20-09-2016 21:11"
04-10-2016;;William;Smith;18;William_Smith@gmail.com;0;0;1;0;1;0;0;0;"20-09-2016 19:11";"20-09-2016 19:11"
04-10-2016;Dr.;Sam;Walker;0;Sam_Walker@gmail.com;0;0;1;0;0;0;0;0;"20-09-2016 18:11";"20-09-2016 18:11"
04-10-2016;Dr.;Bill;Walker;16;Bill_Walker@gmail.com;1;0;0;0;1;1;0;0;"20-09-2016 15:10";"20-09-2016 15:10"
04-10-2016;Mr.;William;Jackson;35;William_Jackson@gmail.com;0;0;0;0;1;1;1;1;"20-09-2016 14:10";"20-09-2016 14:10"
04-10-2016;;Jack;Jackson;16;Jack_Jackson@gmail.com;0;1;0;0;0;1;0;0;"20-09-2016 14:10";"20-09-2016 14:10"
04-10-2016;Mr.;Sam;Dent;16;Sam_Dent@gmail.com;1;1;0;1;1;0;0;0;"20-09-2016 13:30";"20-09-2016 13:30"
04-10-2016;Dr.;Andrew;Clinton;54;Andrew_Clinton@gmail.com;1;0;1;1;0;0;1;0;"20-09-2016 12:10";"20-09-2016 12:10"
04-10-2016;;Tom;Smith;35;Tom_Smith@gmail.com;0;0;0;0;0;0;0;0;"20-09-2016 11:10";"20-09-2016 11:10"
04-10-2016;Dr.;Sam;Walker;21;Sam_Walker@gmail.com;1;0;0;1;1;0;0;1;"20-09-2016 11:10";"20-09-2016 11:10"
04-10-2016;Mr.;Sam;Smith;87;Sam_Smith@gmail.com;0;1;1;0;1;0;0;0;"20-09-2016 11:10";"20-09-2016 11:10"
04-10-2016;Mr.;Sam;Dent;0;Sam_Dent@gmail.com;1;1;0;0;0;0;0;0;"20-09-2016 09:26";"20-09-2016 09:26"
04-10-2016;Dr.;Jack;Peterson;21;Jack_Peterson@gmail.com;0;0;0;0;0;0;0;0;"20-09-2016 09:10";"20-09-2016 09:10"
04-10-2016;Dr.;Jack;Eastwood;60;Jack_Eastwood@gmail.com;1;1;0;0;1;1;1;1;"20-09-2016 08:30";"20-09-2016 08:30"
04-10-2016;Mr.;Tom;Burns;21;Tom_Burns@gmail.com;0;0;0;0;0;0;0;0;"20-09-2016 07:55";"20-09-2016 07:55"
04-10-2016;;William;Walker;16;William_Walker@gmail.com;1;1;0;1;0;1;0;0;"20-09-2016 07:55";"20-09-2016 07:55"
04-10-2016;Dr.;Bill;Eastwood;16;Bill_Eastwood@gmail.com;1;0;0;0;0;1;0;1;"20-09-2016 07:26";"20-09-2016 07:26"
04-10-2016;Dr.;William;Jackson;16;William_Jackson@gmail.com;0;0;1;0;0;0;0;0;"20-09-2016 07:26";"20-09-2016 07:26"
04-10-2016;Mr.;William;Clinton;25;William_Clinton@gmail.com;0;1;0;0;0;1;0;0;"20-09-2016 07:20";"20-09-2016 07:20"
04-10-2016;Mr.;William;Eastwood;5;William_Eastwood@gmail.com;0;1;0;0;0;1;0;0;"20-09-2016 07:10";"20-09-2016 07:10"
04-10-2016;;Andrew;Doe;25;Andrew_Doe@gmail.com;1;1;0;0;0;1;0;0;"20-09-2016 06:55";"20-09-2016 06:55"
04-10-2016;;Andrew;Clinton;54;Andrew_Clinton@gmail.com;0;0;1;1;0;1;0;0;"20-09-2016 06:10";"20-09-2016 06:10"
04-10-2016;Mr.;Roger;Burns;87;Roger_Burns@gmail.com;1;1;0;0;0;0;0;0;"20-09-2016 05:30";"20-09-2016 05:30"
04-10-2016;Mr.;Jack;Dent;35;Jack_Dent@gmail.com;0;0;0;0;0;0;0;1;"20-09-2016 05:26";"20-09-2016 05:26"
04-10-2016;Mr.;Sam;Clinton;54;Sam_Clinton@gmail.com;0;1;0;1;1;1;0;0;"20-09-2016 05:20";"20-09-2016 05:20"
04-10-2016;Dr.;Andrew;Peterson;35;Andrew_Peterson@gmail.com;0;0;1;0;1;0;1;1;"20-09-2016 05:20";"20-09-2016 05:20"
04-10-2016;Mr.;George;Burns;54;George_Burns@gmail.com;0;1;0;0;1;0;1;1;"20-09-2016 04:30";"20-09-2016 04:30"
04-10-2016;Dr.;William;Dent;21;William_Dent@gmail.com;1;1;0;0;1;1;0;0;"20-09-2016 04:10";"20-09-2016 04:10"
04-10-2016;Mr.;George;Dent;60;George_Dent@gmail.com;0;0;0;0;0;0;0;0;"20-09-2016 03:55";"20-09-2016 03:55"
04-10-2016;Mr.;Jack;Eastwood;35;Jack_Eastwood@gmail.com;0;0;0;1;0;1;1;1;"20-09-2016 03:48";"20-09-2016 03:48"
04-10-2016;Dr.;John;Jackson;21;John_Jackson@gmail.com;0;0;0;0;0;1;0;0;"20-09-2016 03:26";"20-09-2016 03:26"
04-10-2016;Dr.;Jack;Walker;5;Jack_Walker@gmail.com;0;0;1;1;1;0;1;0;"20-09-2016 03:26";"20-09-2016 03:26"
04-10-2016;Mr.;Sam;Burns;60;Sam_Burns@gmail.com;1;0;1;1;1;0;0;1;"20-09-2016 02:10";"20-09-2016 02:10"
04-10-2016;Dr.;Sam;Clinton;21;Sam_Clinton@gmail.com;1;0;1;1;1;0;0;0;"20-09-2016 01:26";"20-09-2016 01:26"
04-10-2016;;Sam;Jackson;0;Sam_Jackson@gmail.com;1;1;0;0;0;0;1;0;"20-09-2016 01:20";"20-09-2016 01:20"
04-10-2016;;Jack;Jackson;87;Jack_Jackson@gmail.com;1;0;1;0;1;1;0;1;"19-09-2016 23:55";"19-09-2016 23:55"
04-10-2016;Mr.;William;Clinton;60;William_Clinton@gmail.com;1;1;1;0;0;0;0;1;"19-09-2016 23:55";"19-09-2016 23:55"
04-10-2016;;Jack;Smith;16;Jack_Smith@gmail.com;0;1;1;1;1;0;0;1;"19-09-2016 23:55";"19-09-2016 23:55"
04-10-2016;Mr.;Andrew;Burns;25;Andrew_Burns@gmail.com;1;1;1;1;1;0;0;0;"19-09-2016 23:55";"19-09-2016 23:55"
04-10-2016;Dr.;Bill;Gordon;21;Bill_Gordon@gmail.com;0;1;0;0;0;0;1;0;"19-09-2016 23:20";"19-09-2016 23:20"
04-10-2016;Dr.;Sam;Gordon;18;Sam_Gordon@gmail.com;0;1;1;1;0;1;1;0;"19-09-2016 20:11";"19-09-2016 20:11"
04-10-2016;Dr.;Tom;Peterson;5;Tom_Peterson@gmail.com;0;0;0;0;0;1;0;0;"19-09-2016 17:11";"19-09-2016 17:11"
